Год;Месяц;День;Алтайский край;Забайкальский край;Иркутская область;Кемеровская область;Красноярский край;Новосибирская область;Омская область;Республика Бурятия;Республика Тыва;Республика Хакасия;Томская область
;;12;32044;23273;156265;92028;130772;48837;30947;16381;2533;47522;25071
;;13;33876;23151;162333;93410;133419;49735;32317;17584;2650;48078;25338
;;14;33062;23997;164098;91458;133128;50175;32470;17830;2746;48494;24985
;;15;33438;23833;165553;93140;133901;52179;32979;18093;2676;48630;25506
;;16;34387;24846;167880;95387;135548;53267;33565;17990;2656;49027;25909
;;17;34290;24284;169036;93211;133389;52612;32848;18158;2726;48973;25339
;;18;31663;24627;164851;91727;130175;48954;31707;17777;2769;48337;24192
;;19;31028;24273;161676;91589;128409;47479;30958;17365;2778;48134;23836
;;20;33173;24089;163911;92875;131061;50175;32347;17952;2768;48156;24555
;;21;33380;24316;164154;91994;131616;49990;32516;18198;2846;48112;24313
;;22;33423;24033;164852;92760;130460;50138;33027;18460;2856;48030;24009
;;23;33135;25341;163672;91467;131344;50428;33318;18383;2809;47724;24097
;;24;33322;24353;168112;92839;129862;50731;33058;19088;2786;47559;23977
;;25;32065;24748;167720;92514;128249;48700;32317;18679;2726;47532;23893
;;26;31983;23492;164275;93659;131884;50296;32498;17831;2795;47857;24700
;;27;34700;24320;172496;96221;138045;54231;34777;18971;2726;48519;26275
;;28;34555;25686;175338;93082;138333;53400;34859;18493;2796;48607;25677
;;29;34658;25084;175492;93640;135209;53820;34685;19822;2803;48370;25640
;;30;34813;25833;171431;94431;135132;53624;35762;19407;2820;48550;25584
;12;1;35097;25028;172105;94499;134903;54449;36297;19320;2875;48481;25509
;;2;34447;25187;172401;95614;136347;51677;34779;18880;2835;49119;25465
;;3;33658;24834;170534;94239;133845;51000;34468;18673;2876;48753;24914
;;4;36196;24836;168872;93753;133771;53499;34789;19490;2856;48116;25541
;;5;35716;25774;165860;93856;132770;52625;34131;18407;2893;48094;24651
;;6;34897;25427;166401;92618;132493;52374;34290;19117;2872;47709;24065
;;7;35667;25806;166065;93647;133034;52835;34664;18529;2921;48608;24136
;;8;36883;25277;165115;94966;133810;53787;34967;18341;2987;48876;25057
;;9;35080;25891;166365;95854;135885;52139;33909;17919;2987;49147;25191
;;10;33469;25357;172209;93937;135716;50507;33340;18351;2996;49036;25240
;;11;34685;25521;177424;93251;136033;52224;35045;20051;3010;49115;25330
;;12;35044;26156;176838;94506;136719;53872;36092;19892;3041;49424;26537
;;13;37027;25853;174802;95472;135300;55209;37287;20601;3035;48916;26628
;;14;37493;27009;172964;96762;135855;55418;37625;20173;3058;48847;26605
;;15;37658;27205;173106;97678;135557;55968;37347;19801;3122;49309;26385
;;16;36113;26241;169624;96830;133602;54445;36064;18955;3211;49085;25233
;;17;35514;26075;167118;95054;133316;53307;35904;17822;3169;48746;24886
;;18;37869;25524;169153;96375;133871;56633;37955;18696;3173;48810;25484
;;19;38065;25778;163651;96881;134870;57796;38175;17722;3236;49190;26033
;;20;38107;25046;167480;97682;135474;56792;38008;17541;3239;49720;26868
;;21;37830;25209;170542;97568;135547;55705;36826;17617;3203;49430;26415
;;22;36366;25276;170856;96967;134592;55600;36496;18307;3161;49123;26599
;;23;34414;25820;170165;94449;133657;51742;34221;18102;3121;48724;25380
;;24;33741;25673;169591;93782;133393;51508;34006;18260;3097;48753;25040
;;25;35018;25153;173296;94669;137020;53156;35880;18429;3187;49808;26182
;;26;34549;23995;171444;91540;135383;52709;36431;17526;3120;49142;25886
;;27;34072;25853;170782;93355;134342;51603;35413;19423;3112;48491;26036
;;28;34493;26350;170500;94649;134842;52656;35779;19176;3066;48561;25714
;;29;33749;25966;170282;95457;134166;52505;33808;18771;3049;48668;24845
;;30;32262;26368;172233;93766;132894;49856;33268;17913;3033;48639;24323
;;31;32885;26964;172076;93301;133952;51508;34300;18217;3137;48982;25150
2018;1;1;30203;25100;167537;88859;132093;47747;32453;17294;2768;48583;23354
;;2;31667;25359;171390;92797;136235;49388;32650;17567;2965;49437;23582
;;3;33239;25845;174207;96397;137415;51444;33285;18109;3088;49906;24589
