Год;Месяц;День;Архангельская область;Астраханская область;Белгородская область;Брянская область;Владимирская область;Волгоградская область;Вологодская область;Воронежская область;Ивановская область;Кабардино-Балкарская Республика;Калининградская область;Калужская область;Карачаево-Черкесская Республика;Кировская область;Костромская область;Краснодарский край;Курганская область;Курская область;Ленинградская область;Липецкая область;Московская область;Мурманская область;Нижегородская область;Новгородская область;Оренбургская область;Орловская область;Пензенская область;Пермский край;Псковская область;Республика Башкортостан;Республика Дагестан;Республика Ингушетия;Республика Калмыкия;Республика Карелия;Республика Коми;Республика Крым;Республика Марий Эл;Республика Мордовия;Республика Северная Осетия-Алания;Республика Татарстан;Ростовская область;Рязанская область;Самарская область;Саратовская область;Свердловская область;Смоленская область;Ставропольский край;Тамбовская область;Тверская область;Тульская область;Тюменская область;Удмуртская Республика;Ульяновская область;Челябинская область;Чеченская Республика;Чувашская Республика;Ярославская область
;;25;16778;9209;39963;9774;15636;36888;33728;24236;7263;3522;9504;15273;2711;16009;8090;63207;9626;20557;98317;30787;227861;29779;45419;9998;38878;6245;11335;58778;4748;63847;12627;1728;1347;18757;20255;16513;5216;7100;4584;67229;41421;14961;52725;31228;101176;15205;22519;7866;19572;22297;237602;22037;12345;86202;6407;9869;17681
;;26;17731;9810;41232;10863;17638;39208;34858;26410;8455;3677;9927;16883;2903;17850;8918;68665;10028;21238;106058;31814;246854;30973;49431;10451;39448;6900;12535;60409;5262;63044;11904;1721;1427;19776;20456;17358;5835;7864;4691;72305;46236;15902;56971;32927;105201;16271;24250;8596;20893;24065;238132;23965;13863;86912;5800;11341;19805
;;27;17562;9993;41434;10944;17340;40874;34150;26851;8485;3892;9934;16958;3018;18154;9443;72578;10127;21170;107073;30662;244805;31543;46206;10283;38852;6905;13359;60389;5307;65372;12572;1733;1436;19275;20068;18247;5637;7821;4831;73751;48925;15762;57743;32820;104990;16279;24938;8758;20618;24047;237068;24811;14114;87081;5867;11312;19683
;;28;17587;10506;41892;10942;17428;42178;34364;26802;8345;4007;10038;17157;3014;17977;9400;76844;10002;20969;105089;31720;244462;31366;48863;10332;39208;6909;13465;59278;5288;65713;13068;1834;1534;20478;19810;18701;5773;7744;4965;73439;50526;16015;57808;32380;104575;16385;25899;8618;20449;23915;237152;24146;14017;88393;6221;10901;19670
;;29;18239;11395;42157;10932;17482;42116;33866;26915;8337;4074;10197;15836;3025;17736;9192;75745;9815;21231;103679;32076;246531;30930;49188;10201;39523;6804;13261;58898;5428;64569;13554;1775;1643;20254;20226;19023;5646;7830;5056;72489;51124;15882;58027;32769;105950;16295;26198;8581;20410;23790;237096;23957;13897;85887;6604;11444;19380
;;30;17809;12480;42214;10791;17717;42975;34808;27468;8283;3952;10239;16385;2931;17372;8901;74915;9827;21217;105408;32390;247724;29910;49385;10700;39213;6771;13536;60036;5688;64507;13284;1795;1699;20437;20964;19456;5722;7592;5029;70634;52436;15762;57532;34495;103328;16122;25690;8616;20669;23708;237267;23873;13590;85516;6513;11915;19301
;7;1;16637;12740;40929;10189;15776;42449;34735;26490;7444;3936;9886;15046;2926;16141;8442;77649;8932;20229;101657;31318;227402;28902;45139;10220;39036;6259;11810;57209;5027;62263;13991;1933;1754;20259;20701;19309;5179;7129;4936;66949;51255;14838;53337;33636;99412;15606;25863;7921;19383;22609;234336;22340;12587;83378;6885;10818;18169
;;2;16191;13390;39589;9766;15545;42201;34204;25599;7164;3941;9748;15188;2794;15195;8138;80606;9263;20417;96283;30798;224986;27938;44069;10112;38583;6152;11167;56318;4808;61666;14335;2003;1877;19515;20793;19215;4997;6941;5021;64994;51441;14505;51621;33725;99733;15450;26541;7690;19453;22387;231337;21942;12023;84843;7262;10198;17583
;;3;17067;13754;38096;10583;17200;44005;33969;26873;8296;4399;10048;17036;2934;15947;8735;88156;10018;20975;102513;31447;244054;26708;49914;10354;38642;6386;11890;57500;5263;64268;15102;2002;1959;18652;21709;20593;5605;7402;5383;69765;53709;15259;57427;35126;103253;16404;29661;8201;21089;23677;231200;23803;13912;87891;7671;11416;19817
;;4;16783;14097;33996;10273;17175;41792;33582;26636;8463;4553;10217;17262;2909;15053;8906;85443;10036;20340;104107;30733;244324;26227;49276;10184;38752;6223;11889;55149;5213;64246;15725;2041;1943;19020;21633;18509;6184;7593;5466;70142;50722;15229;58919;35260;103007;15844;29712;8445;21223;23805;230509;23593;13884;87969;7896;11447;20223
